# x_register	name	tool_set	function
0x0101	TLBootInit	0x01	0x01
0x0102	MMBootInit	0x02	0x01
0x0103	MTBootInit	0x03	0x01
0x0104	QDBootInit	0x04	0x01
0x0105	DeskBootInit	0x05	0x01
0x0106	EMBootInit	0x06	0x01
0x0107	SchBootInit	0x07	0x01
0x0108	SoundBootInit	0x08	0x01
0x0109	ADBBootInit	0x09	0x01
0x010a	SANEBootInit	0x0a	0x01
0x010b	IMBootInit	0x0b	0x01
0x010c	TextBootInit	0x0c	0x01
0x010e	WindBootInit	0x0e	0x01
0x010f	MenuBootInit	0x0f	0x01
0x0110	CtlBootInit	0x10	0x01
0x0111	LoaderInitialization	0x11	0x01
0x0112	QDAuxBootInit	0x12	0x01
0x0113	PMBootInit	0x13	0x01
0x0114	LEBootInit	0x14	0x01
0x0115	DialogBootInit	0x15	0x01
0x0116	ScrapBootInit	0x16	0x01
0x0117	SFBootInit	0x17	0x01
0x0119	NSBootInit	0x19	0x01
0x011a	SeqBootInit	0x1a	0x01
0x011b	FMBootInit	0x1b	0x01
0x011c	ListBootInit	0x1c	0x01
0x011d	ACEBootInit	0x1d	0x01
0x011e	ResourceBootInit	0x1e	0x01
0x0120	MidiBootInit	0x20	0x01
0x0121	VDBootInit	0x21	0x01
0x0122	TEBootInit	0x22	0x01
0x0123	MSBoot	0x23	0x01
0x0126	MCBootInit	0x26	0x01
0x0201	TLStartUp	0x01	0x02
0x0202	MMStartUp	0x02	0x02
0x0203	MTStartUp	0x03	0x02
0x0204	QDStartUp	0x04	0x02
0x0205	DeskStartUp	0x05	0x02
0x0206	EMStartUp	0x06	0x02
0x0207	SchStartUp	0x07	0x02
0x0208	SoundStartUp	0x08	0x02
0x0209	ADBStartUp	0x09	0x02
0x020a	SANEStartUp	0x0a	0x02
0x020b	IMStartUp	0x0b	0x02
0x020c	TextStartUp	0x0c	0x02
0x020e	WindStartUp	0x0e	0x02
0x020f	MenuStartUp	0x0f	0x02
0x0210	CtlStartUp	0x10	0x02
0x0211	LoaderStartUp	0x11	0x02
0x0212	QDAuxStartUp	0x12	0x02
0x0213	PMStartUp	0x13	0x02
0x0214	LEStartUp	0x14	0x02
0x0215	DialogStartUp	0x15	0x02
0x0216	ScrapStartUp	0x16	0x02
0x0217	SFStartUp	0x17	0x02
0x0219	NSStartUp	0x19	0x02
0x021a	SeqStartUp	0x1a	0x02
0x021b	FMStartUp	0x1b	0x02
0x021c	ListStartup	0x1c	0x02
0x021d	ACEStartUp	0x1d	0x02
0x021e	ResourceStartUp	0x1e	0x02
0x0220	MidiStartUp	0x20	0x02
0x0221	VDStartUp	0x21	0x02
0x0222	TEStartUp	0x22	0x02
0x0223	MSStartUp	0x23	0x02
0x0226	MCStartUp	0x26	0x02
0x0301	TLShutDown	0x01	0x03
0x0302	MMShutDown	0x02	0x03
0x0303	MTShutDown	0x03	0x03
0x0304	QDShutDown	0x04	0x03
0x0305	DeskShutDown	0x05	0x03
0x0306	EMShutDown	0x06	0x03
0x0307	SchShutDown	0x07	0x03
0x0308	SoundShutDown	0x08	0x03
0x0309	ADBShutDown	0x09	0x03
0x030a	SANEShutDown	0x0a	0x03
0x030b	IMShutDown	0x0b	0x03
0x030c	TextShutDown	0x0c	0x03
0x030e	WindShutDown	0x0e	0x03
0x030f	MenuShutDown	0x0f	0x03
0x0310	CtlShutDown	0x10	0x03
0x0311	LoaderShutDown	0x11	0x03
0x0312	QDAuxShutDown	0x12	0x03
0x0313	PMShutDown	0x13	0x03
0x0314	LEShutDown	0x14	0x03
0x0315	DialogShutDown	0x15	0x03
0x0316	ScrapShutDown	0x16	0x03
0x0317	SFShutDown	0x17	0x03
0x0319	NSShutDown	0x19	0x03
0x031a	SeqShutDown	0x1a	0x03
0x031b	FMShutDown	0x1b	0x03
0x031c	ListShutDown	0x1c	0x03
0x031d	ACEShutDown	0x1d	0x03
0x031e	ResourceShutDown	0x1e	0x03
0x0320	MidiShutDown	0x20	0x03
0x0321	VDShutdown	0x21	0x03
0x0322	TEShutDown	0x22	0x03
0x0323	MSShutDown	0x23	0x03
0x0326	MCShutDown	0x26	0x03
0x0401	TLVersion	0x01	0x04
0x0402	MMVersion	0x02	0x04
0x0403	MTVersion	0x03	0x04
0x0404	QDVersion	0x04	0x04
0x0405	DeskVersion	0x05	0x04
0x0406	EMVersion	0x06	0x04
0x0407	SchVersion	0x07	0x04
0x0408	SoundVersion	0x08	0x04
0x0409	ADBVersion	0x09	0x04
0x040a	SANEVersion	0x0a	0x04
0x040b	IMVersion	0x0b	0x04
0x040c	TextVersion	0x0c	0x04
0x040e	WindVersion	0x0e	0x04
0x040f	MenuVersion	0x0f	0x04
0x0410	CtlVersion	0x10	0x04
0x0411	LoaderVersion	0x11	0x04
0x0412	QDAuxVersion	0x12	0x04
0x0413	PMVersion	0x13	0x04
0x0414	LEVersion	0x14	0x04
0x0415	DialogVersion	0x15	0x04
0x0416	ScrapVersion	0x16	0x04
0x0417	SFVersion	0x17	0x04
0x0419	NSVersion	0x19	0x04
0x041a	SeqVersion	0x1a	0x04
0x041b	FMVersion	0x1b	0x04
0x041c	ListVersion	0x1c	0x04
0x041d	ACEVersion	0x1d	0x04
0x041e	ResourceVersion	0x1e	0x04
0x0420	MidiVersion	0x20	0x04
0x0421	VDVersion	0x21	0x04
0x0422	TEVersion	0x22	0x04
0x0423	MSVersion	0x23	0x04
0x0426	MCVersion	0x26	0x04
0x0501	TLReset	0x01	0x05
0x0502	MMReset	0x02	0x05
0x0503	MTReset	0x03	0x05
0x0504	QDReset	0x04	0x05
